"chain","brand","name","oldPrice","newPrice","pct"
"kaufland","Charlie`s Organics","Charlie`s Voda gaz.nar.Bio 330ml vg.LIM","1.25","0.69","-44.8"
"kaufland","Charlie`s Organics","Charlie`s Voda gaz.grej.Bio 330ml vg.LIM","1.19","0.69","-42.0"
"studenac","AWT-RADENSKA","VODA GAZ. RADENSKA","1.42","0.85","-40.1"
"gavranovic","JAMNICA plus d.o.o.","VODA JAMNICA BLAGO GAZIRANA MILD 1,5L","1.25","0.95","-24.0"
"tommy","JAMNICA PLUS D.O.O.","VODA GAZ.MILD 1,5 L JAMNICA","0.85","1.05","23.5"
"studenac","AWT-ZALA","VODA ZALA 1,5 l","0.69","0.85","23.2"
"dm","Mivolis","Mivolis morska voda za nos u spreju 20ml","0.65","0.5","-23.1"
"tommy","STUDENAC","VODA GAZ.1,5 L STUDENAC PET","0.89","0.69","-22.5"
"tommy","STUDENA","VODA NEGAZ.1,5 L STUDENA","0.89","0.69","-22.5"
"ribola","CETINA","VODA CETINA 15 l NEGAZIRANA","6.12","7.49","22.4"
"dm","Donat mg","DoNatural negaz.biljna voda menta 0,5 l","1.85","1.45","-21.6"
"dm","Donat mg","DoNatural negaz.bilj.voda lim.tr. 0,5 l","1.85","1.45","-21.6"
"dm","Donat mg","DoNatural negaz.bilj. voda aloe vera 0,5","1.85","1.45","-21.6"
"lorenco","","MIN.VODA 1,5L JAMNICA","0.84","0.66","-21.4"
"dm","Denkmit","Denkmit voda za glačalo 1 l","0.95","0.75","-21.1"
"gavranovic","JAMNICA plus d.o.o.","VODA SARA 6L","1.99","2.35","18.1"
"tommy","ATLANTIC TRADE D.O.O.","VODA DONATURAL 0,5L KADULJA","1.69","1.39","-17.8"
"tommy","DONATURAL","VODA DONATURAL 0,5L ALOE VERA","1.69","1.39","-17.8"
"tommy","ATLANTIC TRADE D.O.O.","VODA DONATURAL 0,5L KLEKA","1.69","1.39","-17.8"
"tommy","JAMNICA PLUS D.O.O.","VODA NEGAZ.0,33 L JANA PET","0.75","0.62","-17.3"
"studenac","AWT-RADENSKA","VODA RADENSKA NATURELLE 1,5 l","0.99","0.85","-14.1"
"branka","","VODA DESTILIRANA PRINC 5L","1.49","1.69","13.4"
"stanic","BEZALKOHOLNA PIĆA DONAT","VODA DONAT mg 1 l PET","2.49","2.79","12.0"
"zabac","","Studena izvorska voda PET boca 1,50 l","0.89","0.79","-11.2"
"zabac","","MIN VODA STUDENAC 1,5L GAZ PET","0.89","0.79","-11.2"
"lorenco","","CETINA PRIRODNA VODA NEGAZIRANA 7L","1.85","2.01","8.6"
"bure","","VODA CETINA 7 L","1.75","1.9","8.6"
"stanic","BEZALKOHOLNA PIĆA JAMNICA","VODA GAZIRANA PET 1.5 l X4 PROMO JAMNICA","3.69","3.99","8.1"
"konzum","SANTA","VODA GAZIRANA SANTA 1.5L PET","0.93","0.99","6.5"
"konzum","SANTA","VODA IZVORSKA SANTA 1.5L PET","0.93","0.99","6.5"
"stanic","BEZALKOHOLNA PIĆA DONAT","VODA DONAT mg 0,5 l PET","1.59","1.69","6.3"
"konzum","SANTA","VODA IZVORSKA SANTA 0.5L PET","0.75","0.79","5.3"
"branka","","VODA RADENSKA 1/1","0.79","0.75","-5.1"
"vrutak","COCA COLA","*VODA ROMERQUELLE 0.50L NEGAZIRANA -24/1-","0.95","0.99","4.2"
"trgovina-krk","","VODA IZVORSKA CETINA 7 l","2.59","2.52","-2.7"
